window_q,N,events,status,pos_beta,pos_se,pos_p,pos_OR,pos_OR_lo,pos_OR_hi,neg_beta,neg_se,neg_p,neg_OR,neg_OR_lo,neg_OR_hi
2,1021,55,ok,-0.35818370978011665,0.18892958545015212,0.05797879331852842,0.698944660241516,0.482639299008003,1.0121920015303763,-0.014423259353881206,0.136970294621492,0.9161360984634861,0.9856802575698911,0.7536064198763975,1.2892214616780968
3,747,41,ok,-0.3487613234925639,0.21337554440407283,0.10215489327636348,0.7055615111321354,0.4644146932139972,1.0719235486412007,-0.04324880426731523,0.16339757824268655,0.7912525285452103,0.9576730872720776,0.6952331252671837,1.3191801551929345
4,516,32,ok,-0.828334651561553,0.3074056014861297,0.007047350784889191,0.43677606532176383,0.23910568444136945,0.7978619650288606,0.13885613665121355,0.17169646943889166,0.41867029747522944,1.1489587950533544,0.820641486912533,1.6086273162925744
5,321,24,ok,-0.4478171401478603,0.28658365762275945,0.11814546267691083,0.6390215247303805,0.3643934425016689,1.12062529519002,0.06696498523430625,0.308774757913835,0.8283071249603526,1.0692580376994631,0.5837785634241403,1.958469911054683
6,187,15,ok,-1.3390051146031123,0.5088667794863505,0.008504713116253676,0.2621063046422427,0.09667658926232238,0.710613763450035,0.4414833711556318,0.36358538173155236,0.22465246004303652,1.5550121687381087,0.7625067050445293,3.171202074586852
8,60,6,ok,-0.8071522064218907,0.8047134232846106,0.31584608611915266,0.44612673576418566,0.09214512344106388,2.159952224611286,0.22157978731806793,0.6006560681117815,0.7122050384304969,1.2480468225571224,0.3845405222275637,4.050602683618242
