listing_id,fit_init,variability_init,activity_init,reviews_pq,price_log,superhost,amenity_count,sentiment,entry_qtr,lifetime,censored,district,is_tourist,entry_q
505456,1.2405849,0.2656443392501394,2.302585092994046,5.0,6.960347729101308,1,48.0,0.059796626187135146,2021Q1,2,0,Central & Western,1,2021Q1
645404,1.26233315,0.1635424398041529,7.709425810631926,11.0,4.61512051684126,1,23.0,0.026075392981651277,2023Q2,8,0,Yau Tsim Mong,1,2023Q2
926138,1.1456153999999998,0.2133668944166259,7.705509335659759,14.0,6.859614903654202,1,54.0,0.04367826094441598,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
944283,1.3277689499999998,0.1862796368477095,4.9240740554841285,4.5,6.744059186311348,0,38.0,0.0516366692591764,2023Q1,10,1,Central & Western,1,2023Q1
2104151,0.8653353125,0.1771892635150053,7.7055866244440985,13.75,6.806829360392176,1,53.0,0.04976584381666075,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
2342794,0.9689008750000001,0.1676438538376117,7.712480913329472,13.75,7.239932591320469,1,54.0,0.039730464518577924,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
3021624,1.15263765,0.1330206306095515,3.2141615746327643,4.5,6.919683849847411,0,41.0,0.030162412802779502,2022Q1,14,1,Wan Chai,1,2022Q1
3647187,1.2119233466666666,0.2501105272823368,2.8932486596090348,5.0,6.729824070489475,0,44.0,0.07176902678934408,2023Q1,6,0,Eastern,0,2023Q1
3870691,1.25570905,0.1348733057140175,7.712262361076938,5.0,5.723585101952381,0,16.0,0.015766525170142823,2023Q2,6,0,Yau Tsim Mong,1,2023Q2
4196169,1.4908974,0.0681778541319317,7.415082934186252,10.75,6.962243464266207,1,36.0,0.02620612119697635,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
4550324,1.14637385,0.0898951404212571,3.3248778938560712,18.5,7.438971592395862,0,46.0,0.037675194606030124,2021Q1,10,0,Sai Kung,0,2021Q1
4841805,1.05660395,0.2191416776091238,7.417710796465365,5.5,6.013715156042802,0,8.0,0.050900286412145224,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
4858735,0.463857395,0.0348563415769048,7.705868625662517,12.75,5.159055299214529,1,22.0,0.007952397955713574,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
