model,term,beta,se,p,N,R2,adj_R2
M1_baseline,fit_init,-0.940928253069951,0.5457377860865382,0.08468260344418661,317,0.24007301001368464,0.19145815206843209
M1_baseline,variability_init,-0.8982679134598809,1.2947429985570411,0.4878196463656398,317,0.24007301001368464,0.19145815206843209
M2_fit_only,fit_init,-0.9435980731640135,0.5450869791552433,0.08343458351867397,317,0.23919582125821237,0.19324120643488285
M3_variability_only,variability_init,-0.9165758915115443,1.3038653538943759,0.4820755622103031,317,0.2337721176021843,0.1874898965177525
