subgroup,term,beta,se,p,N,R2
tourist_core (corrected),fit_init,-0.6054097741861545,0.538791642209077,0.2611642568016561,270,0.2038974082536581
tourist_core (corrected),variability_init,-0.9709484364728229,1.3440333482013278,0.4700400143731188,270,0.2038974082536581
non_tourist (corrected),fit_init,-1.1367947293756608,2.6697168894435905,0.6702455951710082,47,0.6719647256591386
non_tourist (corrected),variability_init,5.326522267047137,6.591197832176775,0.41901770859879794,47,0.6719647256591386
full_sample_interaction (corrected),fit_init,-2.6090125155708934,2.1572921317680422,0.22651216144403774,317,0.24542405807356615
full_sample_interaction (corrected),variability_init,1.5470165292731985,4.319492538436894,0.720232747309685,317,0.24542405807356615
full_sample_interaction (corrected),fit_x_tourist,1.8941389983858765,2.231051141847449,0.39588713370326034,317,0.24542405807356615
full_sample_interaction (corrected),var_x_tourist,-3.005539357666554,4.641605554790215,0.5172944889354539,317,0.24542405807356615
